location,date,avg,median,high,low,std,obs
PEPCO,2020-02-02,17.651668416666666,17.0883185,22.556233,15.130248,2.095914490819428,24
PEPCO,2020-02-03,19.023891125000002,19.538359,23.963276,14.22979,2.9168849172257634,24
PEPCO,2020-02-04,17.404035083333333,17.9063525,22.048418,12.949487,2.7230532023934955,24
PEPCO,2020-02-05,19.706287666666665,20.7255595,27.520366,13.594287,3.8186365365211374,24
PEPCO,2020-02-06,21.997649541666664,22.042986499999998,27.571302,16.379652,3.8350860799738538,24
PEPCO,2020-02-07,21.976822166666665,21.567275000000002,30.346785,17.578244,3.492481691952695,24
PEPCO,2020-02-08,23.456768541666666,22.045983,30.330667,19.417932,3.4680177313998968,24
PEPCO,2020-02-09,19.159771125,18.459901000000002,25.122158,15.762385,2.722649762859101,24
PEPCO,2020-02-10,20.711640875,20.319295,27.783295,15.885241,3.80759077395193,24
PEPCO,2020-02-11,19.291405041666668,19.0276455,24.71149,15.04207,2.9327964726096205,24
PEPCO,2020-02-12,19.2868995,19.170348,24.821481,14.471171,3.186236507033447,24
PEPCO,2020-02-13,18.626138083333334,18.364441499999998,24.345122,13.713194,3.008151689092489,24
PEPCO,2020-02-14,23.719792416666667,22.4222425,35.322584,17.613388,5.25547670053405,24
PEPCO,2020-02-15,23.315161791666668,22.0908085,32.085697,17.451036,4.3413139631729525,24
PEPCO,2020-02-16,19.507039916666667,19.0565425,23.699728,17.097201,2.2268886576534834,24
PEPCO,2020-02-17,19.539544333333335,19.209000500000002,22.653774,16.045205,2.404239522002163,24
PEPCO,2020-02-18,18.829827124999998,19.640195499999997,24.190974,14.116896,3.133334029732315,24
PEPCO,2020-02-19,21.173263083333335,20.697013,29.481486,16.137358,3.8425355300631,24
PEPCO,2020-02-20,23.25948475,22.301035,30.288411,18.700914,3.640633615570655,24
PEPCO,2020-02-21,25.869602208333333,21.9726535,61.404944,19.44317,9.778117223072307,24
PEPCO,2020-02-22,21.66734,21.301169,35.098356,15.286912,4.928719541158985,24
PEPCO,2020-02-23,18.438163916666667,18.471055,23.554864,14.480977,2.331910496204047,24
PEPCO,2020-02-24,20.515426333333334,20.5566685,27.014833,16.267837,3.060233207510921,24
PEPCO,2020-02-25,19.157074708333333,19.512245999999998,23.078154,14.519535,2.6131022639276122,24
PEPCO,2020-02-26,19.138140916666668,20.430191,24.727726,13.50688,3.3525537715028766,24
PEPCO,2020-02-27,21.441012,20.842941500000002,30.153253,16.653036,3.80698291542791,24
